rank,ranking-institution-title,ranking-institution-title href,location,overall,resources,engagement,outcomes,enviroment
1,Harvard University,https://www.timeshighereducation.com/world-university-rankings/harvard-university#ranking-dataset/634830,Massachusetts,91.9,29.8,15.6,39.5,7
2,Columbia University,https://www.timeshighereducation.com/world-university-rankings/columbia-university#ranking-dataset/634830,New York,90.6,27,16.7,39,7.8
3,Massachusetts Institute of Technology,https://www.timeshighereducation.com/world-university-rankings/massachusetts-institute-technology#ranking-dataset/634830,Massachusetts,90.4,29.2,15.8,38.2,7.2
3,Stanford University,https://www.timeshighereducation.com/world-university-rankings/stanford-university#ranking-dataset/634830,California,90.4,26.2,17.4,38.9,7.9
5,Duke University,https://www.timeshighereducation.com/world-university-rankings/duke-university#ranking-dataset/634830,North Carolina,90.2,26.7,17.2,39.5,6.8
6,Yale University,https://www.timeshighereducation.com/world-university-rankings/yale-university#ranking-dataset/634830,Connecticut,90,26.8,16.9,39.3,7.2
7,California Institute of Technology,https://www.timeshighereducation.com/world-university-rankings/california-institute-technology#ranking-dataset/634830,California,89.8,30,14.6,38.8,6.4
8,University of Pennsylvania,https://www.timeshighereducation.com/world-university-rankings/university-pennsylvania#ranking-dataset/634830,Pennsylvania,89.6,27,17.3,38.4,6.9
9,Princeton University,https://www.timeshighereducation.com/world-university-rankings/princeton-university#ranking-dataset/634830,New Jersey,89.5,28.1,15.6,39.1,6.8
10,Cornell University,https://www.timeshighereducation.com/world-university-rankings/cornell-university#ranking-dataset/634830,New York,88.9,26.8,17.5,38.1,6.6
11,Brown University,https://www.timeshighereducation.com/world-university-rankings/brown-university#ranking-dataset/634830,Rhode Island,87.5,26.8,17.7,36.1,7
11,University of Chicago,https://www.timeshighereducation.com/world-university-rankings/university-chicago#ranking-dataset/634830,Illinois,87.5,26.9,15.5,38.2,6.8
11,Washington University in St Louis,https://www.timeshighereducation.com/world-university-rankings/washington-university-st-louis#ranking-dataset/634830,Missouri,87.5,26.2,17.6,37.6,6.2
14,Rice University,https://www.timeshighereducation.com/world-university-rankings/rice-university#ranking-dataset/634830,Texas,87.4,27.2,17.1,36.3,6.8
15,Northwestern University,https://www.timeshighereducation.com/world-university-rankings/northwestern-university#ranking-dataset/634830,Illinois,87.3,27.2,17.2,36.6,6.2
15,University of Southern California,https://www.timeshighereducation.com/world-university-rankings/university-southern-california#ranking-dataset/634830,California,87.3,25.4,17.6,36.5,7.7
17,Dartmouth College,https://www.timeshighereducation.com/world-university-rankings/dartmouth-college#ranking-dataset/634830,New Hampshire,86.8,26.6,17.3,37,5.9
17,Johns Hopkins University,https://www.timeshighereducation.com/world-university-rankings/johns-hopkins-university#ranking-dataset/634830,Maryland,86.8,25.7,16.2,37.7,7.1
19,Emory University,https://www.timeshighereducation.com/world-university-rankings/emory-university#ranking-dataset/634830,Georgia,86.4,26,16.6,36.2,7.6
20,Carnegie Mellon University,https://www.timeshighereducation.com/world-university-rankings/carnegie-mellon-university#ranking-dataset/634830,Pennsylvania,86.1,25.4,17.3,36.8,6.7
21,Vanderbilt University,https://www.timeshighereducation.com/world-university-rankings/vanderbilt-university#ranking-dataset/634830,Tennessee,85.3,25.5,17.4,37.4,5
